"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197310","2","2","0","-77","-121","36","65","-2","-42","11","12","24","8","-14","0","20","16","7","0","24","31","40","42","0","-","29","60","21","1","33","15","0","7","9","20","5","-4","-52","21","10","23","0","-109","0","0","-164","3","0","8","0","0","0","0","-","0","4","4","-1","-4","0","0","0","-3","0","0","-65","-121","-42","12","9","23","2","16","0","10","-","-","-","-","-","","",""
"197311","3","1","42","59","70","3","-38","-81","-167","-117","-120","39","33","-6","0","20","5","-28","-66","63","15","0","0","120","-","59","13","26","6","26","257","0","10","6","-6","10","6","8","6","66","10","3","3","9","0","0","13","0","37","0","0","0","0","-","5","15","21","-2","1","2","0","0","17","0","0","-56","70","-167","-120","8","16","10","43","5","16","-","-","-","-","-","","",""
"197312","37","39","10","70","86","29","29","72","101","-64","-66","134","45","28","92","0","36","28","1","88","101","0","270","169","-","82","99","18","29","90","139","0","33","37","11","47","38","23","44","61","31","1","21","0","377","0","35","0","98","0","0","0","0","-","31","16","146","11","1","2","0","0","13","0","0","59","86","101","-66","36","37","39","59","2","37","-","-","-","-","-","","",""
"197401","75","116","80","64","71","-4","244","263","342","62","62","89","396","49","149","3","95","32","19","21","29","41","0","73","-","114","93","38","150","79","200","16","127","146","-3","196","156","219","126","113","114","44","2","4","17","0","8","0","21","0","17","0","77","-","22","51","-24","-2","48","11","0","20","49","0","0","155","71","342","62","68","103","79","17","11","72","-","-","-","-","-","","",""
"197402","30","18","10","20","13","42","-64","72","128","-12","-13","-29","45","70","10","7","0","28","1","82","5","0","0","36","-","17","104","85","6","91","-154","0","10","-4","0","-5","-60","-191","6","146","61","56","125","5","123","187","41","71","47","0","0","0","0","-","56","58","174","55","5","31","0","115","73","0","0","51","13","128","-13","21","8","27","57","7","23","-","-","-","-","-","","",""
"197403","3","-1","11","-10","-25","-1","18","-107","-148","308","319","-4","15","0","4","0","0","7","12","-4","1","0","0","4","-","13","15","0","42","22","-10","0","4","-73","6","-96","72","132","48","75","-23","31","-4","8","-88","0","10","28","2","0","0","0","0","-","2","4","-17","4","10","12","13","0","42","0","0","-18","-25","-148","319","4","5","2","0","8","3","-","-","-","-","-","","",""
"197404","24","44","-1","151","223","25","-2","47","95","257","263","5","9","14","-78","0","0","12","12","14","0","0","0","0","-","10","22","0","0","3","0","32","-13","-67","69","-111","40","181","-20","2","41","13","0","4","-13","0","23","0","60","0","87","113","0","-","1","6","-53","6","20","5","13","-2","2","0","0","187","223","95","263","8","2","25","26","51","9","-","-","-","-","-","","",""
"197405","18","-8","0","-68","-97","-4","-15","-85","-146","177","181","16","6","0","6","106","0","7","6","9","0","0","0","-2","-","-17","-60","0","12","20","0","0","143","315","63","413","185","273","139","-21","23","0","0","0","0","0","1","2","0","0","13","16","0","-","7","2","9","-3","13","78","139","17","127","0","0","-48","-97","-146","181","26","8","19","9","9","27","-","-","-","-","-","","",""
"197406","-3","-22","-2","30","35","-2","-39","-143","-246","-114","-115","12","5","38","-4","5","0","17","20","11","123","213","5","201","-","5","5","0","-20","45","-3","0","3","37","0","48","-80","-32","-108","-20","0","19","0","1","0","0","3","0","8","0","0","0","0","-","4","-1","23","2","0","5","0","17","12","0","0","-87","35","-246","-115","4","-1","-6","12","13","3","-","-","-","-","-","","",""
"197407","11","2","0","51","73","10","2","60","118","-235","-240","4","0","33","-3","8","5","1","0","1","0","0","0","0","-","1","3","0","0","0","-5","0","5","2","0","3","-36","-93","0","0","5","0","8","0","111","0","0","0","0","0","0","0","0","-","76","18","-5","337","1","25","62","0","-2","0","0","-5","73","118","-240","12","4","11","1","0","13","-","-","-","-","-","","",""
